Date,USD/INR
16-06-1977,8.85
17-06-1977,8.85
20-06-1977,8.88
21-06-1977,8.88
22-06-1977,8.88
23-06-1977,8.88
24-06-1977,8.88
27-06-1977,8.88
28-06-1977,8.88
29-06-1977,8.88
30-06-1977,8.88
01-07-1977,8.81
04-07-1977,
05-07-1977,8.81
06-07-1977,8.81
07-07-1977,8.81
08-07-1977,8.81
11-07-1977,8.81
12-07-1977,8.81
13-07-1977,8.81
14-07-1977,
15-07-1977,8.85
18-07-1977,8.85
19-07-1977,8.85
20-07-1977,8.85
21-07-1977,8.85
22-07-1977,8.81
25-07-1977,8.81
26-07-1977,8.81
27-07-1977,8.81
28-07-1977,8.81
29-07-1977,8.73
01-08-1977,8.73
02-08-1977,8.73
03-08-1977,8.73
04-08-1977,8.73
05-08-1977,8.72
08-08-1977,8.72
09-08-1977,8.72
10-08-1977,8.72
11-08-1977,8.72
12-08-1977,8.72
15-08-1977,8.72
16-08-1977,8.72
17-08-1977,8.72
18-08-1977,8.72
19-08-1977,8.71
22-08-1977,8.71
23-08-1977,8.71
24-08-1977,8.71
25-08-1977,8.71
26-08-1977,8.73
29-08-1977,8.73
30-08-1977,8.73
31-08-1977,8.73
01-09-1977,8.73
02-09-1977,8.73
05-09-1977,
06-09-1977,8.73
07-09-1977,8.73
08-09-1977,8.73
09-09-1977,8.73
12-09-1977,8.73
13-09-1977,8.73
14-09-1977,8.73
15-09-1977,8.73
16-09-1977,8.73
19-09-1977,8.73
20-09-1977,8.73
21-09-1977,8.73
22-09-1977,8.73
23-09-1977,8.73
26-09-1977,8.73
27-09-1977,8.73
28-09-1977,8.73
29-09-1977,8.73
30-09-1977,8.73
03-10-1977,8.73
04-10-1977,8.73
05-10-1977,8.73
06-10-1977,8.73
07-10-1977,8.62
10-10-1977,
11-10-1977,8.62
12-10-1977,8.62
13-10-1977,8.62
14-10-1977,8.58
17-10-1977,8.58
18-10-1977,8.58
19-10-1977,8.58
20-10-1977,8.58
21-10-1977,8.58
24-10-1977,8.58
25-10-1977,8.58
26-10-1977,8.58
27-10-1977,8.58
28-10-1977,8.55
31-10-1977,8.55
01-11-1977,8.55
02-11-1977,8.55
03-11-1977,8.55
04-11-1977,8.7
07-11-1977,8.7
08-11-1977,
09-11-1977,8.7
10-11-1977,8.7
11-11-1977,
14-11-1977,8.7
15-11-1977,8.7
16-11-1977,8.7
17-11-1977,8.7
18-11-1977,8.61
21-11-1977,8.61
22-11-1977,8.61
23-11-1977,8.61
24-11-1977,
25-11-1977,8.62
28-11-1977,8.62
29-11-1977,8.62
30-11-1977,8.62
01-12-1977,8.62
02-12-1977,8.62
05-12-1977,8.62
06-12-1977,8.62
07-12-1977,8.62
